NoteNumber,EmployeeNumber,LocationType,LocationCode,GrossPay,Deductions,NetPay,ActualGrossPay,,Servicetype,EmployeeType,ServiceStatus,CentreCode,TotalPaidDays,,,,,,,,
200001-EPC-20070201-00004,334999,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335654,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335655,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335656,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335657,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335658,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335659,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335660,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,335661,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,336434,2,5,0,0,0,0,,3,1,2,5,0,,,,,,,,
200001-EPC-20070201-00004,336969,2,5,769,0,769,769,,3,1,2,5,7.75,,,,,,,,
200001-EPC-20070201-00004,336970,2,5,1430,0,1430,1430,,3,1,2,5,14.4,,,,,,,,
200001-EPC-20070201-00004,337116,2,5,1308,0,1308,1308,,3,1,2,5,13.66,,,,,,,,
200001-EPC-20070201-00004,337117,2,5,440,0,440,440,,3,1,2,5,4.43,,,,,,,,
200001-EPC-20070201-00004,337157,2,5,660,0,660,660,,3,1,2,5,6.65,,,,,,,,
200001-EPC-20070201-00005,44472,2,6,1562,145,1417,1562,,3,1,4,6,15.88,,,,,,,,
200001-EPC-20070201-00005,44473,2,6,0,0,0,0,,3,1,4,6,0,,,,,,,,
200001-EPC-20070201-00005,44474,2,6,1121,104,1017,1121,,3,1,4,6,11.45,,,,,,,,
200001-EPC-20070201-00005,44476,2,6,954,89,865,954,,3,1,4,6,9.6,,,,,,,,
200001-EPC-20070201-00005,44477,2,6,828,77,751,828,,3,1,4,6,8.49,,,,,,,,
200001-EPC-20070201-00005,44582,2,6,1414,131,1283,1414,,3,1,4,6,14.4,,,,,,,,
200001-EPC-20070201-00005,44583,2,6,1562,145,1417,1562,,3,1,4,6,15.88,,,,,,,,
200001-EPC-20070201-00005,44584,2,6,1487,138,1349,1487,,3,1,4,6,15.14,,,,,,,,
200001-EPC-20070201-00005,44585,2,6,1414,131,1283,1414,,3,1,4,6,14.4,,,,,,,,
200001-EPC-20070201-00005,44587,2,6,1498,139,1359,1498,,3,1,4,6,15.32,,,,,,,,
200001-EPC-20070201-00005,57990,2,6,1185,110,1075,1185,,3,1,4,6,12,,,,,,,,
200001-EPC-20070201-00005,57992,2,6,1277,119,1158,1277,,3,1,4,6,13.11,,,,,,,,
200001-EPC-20070201-00005,64168,2,6,1426,132,1294,1426,,3,1,4,6,14.58,,,,,,,,
200001-EPC-20070201-00005,64169,2,6,1121,104,1017,1121,,3,1,4,6,11.45,,,,,,,,
200001-EPC-20070201-00005,67665,2,6,1195,111,1084,1195,,3,1,4,6,12.18,,,,,,,,
200001-EPC-20070201-00005,67666,2,6,1195,111,1084,1195,,3,1,4,6,12.18,,,,,,,,
200001-EPC-20070201-00005,67667,2,6,0,0,0,0,,3,1,4,6,0,,,,,,,,
200001-EPC-20070201-00005,67735,2,6,1487,138,1349,1487,,3,1,4,6,15.14,,,,,,,,
200001-EPC-20070201-00005,67736,2,6,1414,131,1283,1414,,3,1,4,6,14.4,,,,,,,,
200001-EPC-20070201-00005,73629,2,6,1048,0,1048,1048,,3,1,2,6,10.71,,,,,,,,
200001-EPC-20070201-00005,73636,2,6,828,0,828,828,,3,1,2,6,8.49,,,,,,,,
200001-EPC-20070201-00006,1838,2,7,1562,145,1417,1562,,3,1,4,7,15.88,,,,,,,,
200001-EPC-20070201-00006,28209,2,7,1487,138,1349,1487,,3,1,4,7,15.14,,,,,,,,
200001-EPC-20070201-00006,44530,2,7,1037,96,941,1037,,3,1,4,7,10.52,,,,,,,,
200001-EPC-20070201-00006,57898,2,7,0,0,0,0,,3,1,4,7,0,,,,,,,,
200001-EPC-20070201-00006,57899,2,7,0,0,0,0,,3,1,4,7,0,,,,,,,,
200001-EPC-20070201-00006,65146,2,7,1550,144,1406,1550,,3,1,4,7,15.69,,,,,,,,
200001-EPC-20070201-00006,67076,2,7,1487,138,1349,1487,,3,1,4,7,15.14,,,,,,,,
200001-EPC-20070201-00006,67716,2,7,1257,117,1140,1257,,3,1,4,7,12.74,,,,,,,,
200001-EPC-20070201-00006,73410,2,7,1404,130,1274,1404,,3,1,4,7,14.22,,,,,,,,
200001-EPC-20070201-00006,330959,2,7,1646,0,1646,1646,,3,1,2,7,16.8,,,,,,,,
200001-EPC-20070201-00007,80,2,8,1340,124,1216,1340,,3,1,4,8,13.66,,,,,,,,
200001-EPC-20070201-00007,84,2,8,1562,145,1417,1562,,3,1,4,8,15.88,,,,,,,,
200001-EPC-20070201-00007,88,2,8,1498,139,1359,1498,,3,1,4,8,15.32,,,,,,,,
200001-EPC-20070201-00007,1859,2,8,1550,144,1406,1550,,3,1,4,8,15.69,,,,,,,,
200001-EPC-20070201-00007,3669,2,8,1414,131,1283,1414,,3,1,4,8,14.4,,,,,,,,
200001-EPC-20070201-00007,23509,2,8,0,0,0,0,,3,1,4,8,0,,,,,,,,
200001-EPC-20070201-00007,39462,2,8,1562,145,1417,1562,,3,1,4,8,15.88,,,,,,,,
200001-EPC-20070201-00007,44480,2,8,1331,124,1207,1331,,3,1,4,8,13.48,,,,,,,,
200001-EPC-20070201-00007,44481,2,8,1498,139,1359,1498,,3,1,4,8,15.32,,,,,,,,
200001-EPC-20070201-00007,44482,2,8,0,0,0,0,,3,1,4,8,0,,,,,,,,
200001-EPC-20070201-00007,57901,2,8,0,0,0,0,,3,1,4,8,0,,,,,,,,
200001-EPC-20070201-00007,57903,2,8,1562,145,1417,1562,,3,1,4,8,15.88,,,,,,,,
200001-EPC-20070201-00007,67738,2,8,0,0,0,0,,3,1,4,8,0,,,,,,,,
200001-EPC-20070201-00007,67739,2,8,1037,96,941,1037,,3,1,4,8,10.52,,,,,,,,
200001-EPC-20070201-00007,73416,2,8,1404,130,1274,1404,,3,1,4,8,14.22,,,,,,,,
200001-EPC-20070201-00007,73417,2,8,0,0,0,0,,3,1,4,8,0,,,,,,,,
200001-EPC-20070201-00007,74364,2,8,4097,0,4097,4097,,3,1,2,8,31,,,,,,,,
200001-EPC-20070201-00008,4738,2,9,0,0,0,0,,3,1,4,9,0,,,,,,,,
200001-EPC-20070201-00008,5999,2,9,1173,109,1064,1173,,3,1,4,9,11.82,,,,,,,,
200001-EPC-20070201-00008,44484,2,9,1100,102,998,1100,,3,1,4,9,11.08,,,,,,,,
200001-EPC-20070201-00008,44488,2,9,1185,110,1075,1185,,3,1,4,9,12,,,,,,,,
200001-EPC-20070201-00008,44489,2,9,1247,116,1131,1247,,3,1,4,9,12.55,,,,,,,,
200001-EPC-20070201-00008,44490,2,9,1247,116,1131,1247,,3,1,4,9,12.55,,,,,,,,
200001-EPC-20070201-00008,57984,2,9,0,0,0,0,,3,1,4,9,0,,,,,,,,
200001-EPC-20070201-00008,70154,2,9,3300,0,3300,3300,,3,1,2,9,31,,,,,,,,
200001-EPC-20070201-00008,74303,2,9,2253,0,2253,2253,,3,1,2,9,23.08,,,,,,,,
200001-EPC-20070201-00008,74363,2,9,2619,0,2619,2619,,3,1,2,9,27.32,,,,,,,,
200001-EPC-20070201-00008,76143,2,9,2775,0,2775,2775,,3,1,2,9,28.43,,,,,,,,
200001-EPC-20070201-00008,336717,2,9,2200,0,2200,2200,,3,1,2,9,22.15,,,,,,,,
200001-EPC-20070201-00008,336979,2,9,0,0,0,0,,3,1,2,9,0,,,,,,,,
200001-EPC-20070201-00009,4735,2,10,0,0,0,0,,3,1,4,10,0,,,,,,,,
200001-EPC-20070201-00009,4737,2,10,1394,129,1265,1394,,3,1,4,10,14.03,,,,,,,,
200001-EPC-20070201-00009,28207,2,10,1173,109,1064,1173,,3,1,4,10,11.82,,,,,,,,
200001-EPC-20070201-00009,28208,2,10,0,0,0,0,,3,1,4,10,0,,,,,,,,
200001-EPC-20070201-00009,32854,2,10,0,0,0,0,,3,1,4,10,0,,,,,,,,
200001-EPC-20070201-00009,32855,2,10,881,82,799,881,,3,1,4,10,8.86,,,,,,,,
